,Emission,Channel_number,comp,time,Type,intensity1,position,d1_time,Totalbio,Leaf3
959,0.124759,60,TMTT,16.5,b,15_min_feeding,Wholeplant,10.5,60,60
960,1.07005,60,TMTT,17,b,15_min_feeding,Wholeplant,10.5,60,60
961,0.0975614,60,TMTT,17.5,b,15_min_feeding,Wholeplant,10.5,60,60
962,1.01984,60,TMTT,18,b,15_min_feeding,Wholeplant,10.5,60,60
963,0.946643,60,TMTT,18.5,b,15_min_feeding,Wholeplant,10.5,60,60
964,0.838125,60,TMTT,19,b,15_min_feeding,Wholeplant,10.5,60,60
965,1.00E-08,60,TMTT,19.5,b,15_min_feeding,Wholeplant,10.5,60,60
966,0.866222,60,TMTT,20,b,15_min_feeding,Wholeplant,10.5,60,60
967,0.819857,60,TMTT,20.5,b,15_min_feeding,Wholeplant,10.5,60,60
968,0.439155,60,TMTT,21,b,15_min_feeding,Wholeplant,10.5,60,60
969,5.83129,60,indole,-1,b,15_min_feeding,Wholeplant,10.5,60,60
970,4.53334,60,indole,-0.5,b,15_min_feeding,Wholeplant,10.5,60,60
971,6.06717,60,indole,0,b,15_min_feeding,Wholeplant,10.5,60,60
972,2.82363,60,indole,0.5,b,15_min_feeding,Wholeplant,10.5,60,60
973,4.2462,60,indole,1,b,15_min_feeding,Wholeplant,10.5,60,60
974,7.40371,60,indole,1.5,b,15_min_feeding,Wholeplant,10.5,60,60
975,11.7508,60,indole,2,b,15_min_feeding,Wholeplant,10.5,60,60
976,10.4182,60,indole,2.5,b,15_min_feeding,Wholeplant,10.5,60,60
977,12.8272,60,indole,3,b,15_min_feeding,Wholeplant,10.5,60,60
978,2.76945,60,indole,4,b,15_min_feeding,Wholeplant,10.5,60,60
979,3.89253,60,indole,4.5,b,15_min_feeding,Wholeplant,10.5,60,60
980,9.39273,60,indole,5,b,15_min_feeding,Wholeplant,10.5,60,60
981,7.77359,60,indole,5.5,b,15_min_feeding,Wholeplant,10.5,60,60
982,10.0308,60,indole,6,b,15_min_feeding,Wholeplant,10.5,60,60
983,7.04652,60,indole,6.5,b,15_min_feeding,Wholeplant,10.5,60,60
984,7.94709,60,indole,7,b,15_min_feeding,Wholeplant,10.5,60,60
985,5.88211,60,indole,7.5,b,15_min_feeding,Wholeplant,10.5,60,60
986,6.6833,60,indole,8,b,15_min_feeding,Wholeplant,10.5,60,60
987,5.91083,60,indole,8.5,b,15_min_feeding,Wholeplant,10.5,60,60
988,5.9642,60,indole,9,b,15_min_feeding,Wholeplant,10.5,60,60
989,5.05332,60,indole,9.5,b,15_min_feeding,Wholeplant,10.5,60,60
990,5.21343,60,indole,10,b,15_min_feeding,Wholeplant,10.5,60,60
991,2.41883,60,indole,10.5,b,15_min_feeding,Wholeplant,10.5,60,60
992,1.8307,60,indole,11,b,15_min_feeding,Wholeplant,10.5,60,60
993,2.5293,60,indole,11.5,b,15_min_feeding,Wholeplant,10.5,60,60
994,3.07283,60,indole,12,b,15_min_feeding,Wholeplant,10.5,60,60
995,2.8755,60,indole,12.5,b,15_min_feeding,Wholeplant,10.5,60,60
996,2.32211,60,indole,13,b,15_min_feeding,Wholeplant,10.5,60,60
997,1.1766,60,indole,13.5,b,15_min_feeding,Wholeplant,10.5,60,60
998,2.16795,60,indole,14,b,15_min_feeding,Wholeplant,10.5,60,60
999,2.87986,60,indole,14.5,b,15_min_feeding,Wholeplant,10.5,60,60
1000,3.22767,60,indole,15,b,15_min_feeding,Wholeplant,10.5,60,60
1001,2.15218,60,indole,15.5,b,15_min_feeding,Wholeplant,10.5,60,60
1002,1.9854,60,indole,16,b,15_min_feeding,Wholeplant,10.5,60,60
1003,2.29705,60,indole,16.5,b,15_min_feeding,Wholeplant,10.5,60,60
1004,1.79149,60,indole,17,b,15_min_feeding,Wholeplant,10.5,60,60
1005,1.91099,60,indole,17.5,b,15_min_feeding,Wholeplant,10.5,60,60
1006,1.18115,60,indole,18,b,15_min_feeding,Wholeplant,10.5,60,60
1007,1.71569,60,indole,18.5,b,15_min_feeding,Wholeplant,10.5,60,60
1008,1.00E-08,60,indole,19,b,15_min_feeding,Wholeplant,10.5,60,60
1009,1.25956,60,indole,19.5,b,15_min_feeding,Wholeplant,10.5,60,60
1010,2.22737,60,indole,20,b,15_min_feeding,Wholeplant,10.5,60,60
1011,0.662594,60,indole,20.5,b,15_min_feeding,Wholeplant,10.5,60,60
1012,1.9391,60,indole,21,b,15_min_feeding,Wholeplant,10.5,60,60
1013,20.5193,60,mono,-1,b,15_min_feeding,Wholeplant,10.5,60,60
1014,25.2042,60,mono,-0.5,b,15_min_feeding,Wholeplant,10.5,60,60
1015,24.9989,60,mono,0,b,15_min_feeding,Wholeplant,10.5,60,60
1016,21.345,60,mono,0.5,b,15_min_feeding,Wholeplant,10.5,60,60
1017,20.2537,60,mono,1,b,15_min_feeding,Wholeplant,10.5,60,60
1018,21.8852,60,mono,1.5,b,15_min_feeding,Wholeplant,10.5,60,60
1019,23.8943,60,mono,2,b,15_min_feeding,Wholeplant,10.5,60,60
1020,39.5337,60,mono,2.5,b,15_min_feeding,Wholeplant,10.5,60,60
1021,41.6411,60,mono,3,b,15_min_feeding,Wholeplant,10.5,60,60
1022,28.4459,60,mono,4,b,15_min_feeding,Wholeplant,10.5,60,60
1023,35.0151,60,mono,4.5,b,15_min_feeding,Wholeplant,10.5,60,60
1024,39.4335,60,mono,5,b,15_min_feeding,Wholeplant,10.5,60,60
